target_no2,temperature,pct_11240,pct_12100,pct_21000,pct_23000,pct_50000,pct_11100,pct_11220,pct_11230,pct_12220,pct_13300,pct_13400,pct_14100,pct_14200,pct_11210,pct_12230,pct_31000,pct_11300,pct_32000,pct_12210,pct_24000,pct_12400,pct_13100,pct_40000,pct_33000
9.08063,21.581,9.37,0.0,1.65,46.28,0.0,0.92,18.73,12.58,5.6,0.0,1.47,1.29,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.08063,21.72,8.54,0.55,9.92,30.58,4.96,28.28,9.27,1.93,1.1,0.0,0.0,0.0,0.0,4.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.872329,21.72,0.55,1.56,0.18,3.12,17.08,22.22,0.0,0.0,0.46,0.0,1.84,0.64,2.66,11.39,0.0,36.91,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,32.05,16.35,0.0,4.5,37.19,0.73,0.37,0.64,3.95,1.74,0.0,0.0,1.19,0.09,0.18,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,47.2,26.54,0.0,0.0,8.54,0.0,0.0,0.0,0.0,5.6,3.58,7.71,0.0,0.37,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,33.79,41.23,2.94,0.0,0.28,0.0,0.0,0.0,0.0,0.0,21.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,1.47,95.59,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,0.46,83.38,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.97,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,0.0,4.5,1.84,0.0,0.46,0.0,0.0,0.18,0.0,3.76,0.0,0.28,0.0,0.0,88.89,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,36.0,27.36,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.37,0.0,0.0,33.61,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,29.84,22.59,21.03,0.0,1.29,0.0,0.0,4.04,0.0,0.0,0.0,11.11,0.0,0.0,8.45,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
